Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Special Fighting Pose,Captain Ginyu,120,10-Jan,UR,Extreme PHY,1962,"[""Boost All"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","All Types HP, ATK & DEF +50%",Super Kamehameha,Massively raises ATK for 1 turn[1] and causes supreme damage to enemy,Humanity's Last Hope,"AGL, TEQ & PHY Type Ki +2 and ATK & DEF +30%","[""Planet Namek Saga"", ""Ginyu Force"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Special Pose"", ""Space-Traveling Warriors""]","[""3663"", ""10173"", ""12173"", ""15573""]","[""2596"", ""7269"", ""9269"", ""12269""]","[""1905"", ""5336"", ""7336"", ""9936""]",,"""Planet Namek Saga"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>
STR Type Ki +2 and HP, ATK & DEF +30%",Masenko (Extreme),Causes supreme damage to enemy and raises allies' ATK by 20% for 1 turn,ATK & DEF +13% per Ki Sphere obtained; ATK +7% and Ki +2 in addition per Rainbow Ki Ki Sphere obtained,"[""7731"", ""8332"", ""8934"", ""9535"", ""11535"", ""14535""]","[""7474"", ""8055"", ""8637"", ""9218"", ""11218"", ""14218""]","[""4412"", ""4755"", ""5098"", ""5441"", ""7441"", ""10441""]",,,,,,,,,,,,,,,,,
The Ultimate Fighting Squadron,Captain Ginyu (Ginyu Force),150,20-Jan,LR,Extreme PHY,1963,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery""]","All Types HP, ATK & DEF +77%",Rocket Launcher[2],Causes supreme damage to enemy,Mortals' True Power,Recovers 7777 HP per Rainbow Ki Ki Sphere obtained;<br/>great chance[1] to reduce damage received by 50%,"[""Planet Namek Saga"", ""Ginyu Force"", ""Dragon Ball Seekers"", ""Joined Forces"", ""Terrifying Conquerors"", ""Special Pose"", ""Space-Traveling Warriors""]","[""6396"", ""17910"", ""19910"", ""23310""]","[""4421"", ""12380"", ""14380"", ""17380""]","[""3775"", ""10570"", ""12570"", ""15170""]",,"Super Type allies' Ki +3 and HP, ATK & DEF +130% when team includes all five Super Types[1]",Twin Justice Rush (Extreme),"Raises ATK & DEF for 1 turn[2], causes colossal damage to enemy and seals Super Attack",ATK & DEF +70%; Super Class allies' Ki +4 and DEF +50%; plus an additional ATK +58% and launches an additional attack that has a medium chance[3] of becoming Super Attack when attacking Extreme Class enemies; Extreme Class enemies' DEF -70%,"[""8045"", ""8671"", ""9297"", ""9923"", ""11923"", ""14923""]","[""7505"", ""8089"", ""8673"", ""9257"", ""11257"", ""14657""]","[""4216"", ""4544"", ""4871"", ""5199"", ""7199"", ""9799""]",,,,,,,,,,,,,,,,,
Transcendent Majin,Buu (Kid),120/140,15-Jan,UR,Extreme INT,1964,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Super Spirit Bomb,Causes supreme damage; allies' ATK +20% for 1 turn,Next Level of Saiyan Power,ATK & DEF +10% for every Ki Sphere obtained,"[""Resurrected Warriors"", ""Majin Buu Saga"", ""Transformation Boost"", ""Artificial Life Forms"", ""Majin Power"", ""Planetary Destruction"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""5349"", ""11875"", ""13875"", ""16875""]","[""4864"", ""10800"", ""12800"", ""15800""]","[""2111"", ""4688"", ""6688"", ""9688""]",,"All Types Ki +3 and HP, ATK & DEF +80%",Crush Cannon (Extreme),Causes supreme damage to enemy and raises DEF by 60% for 3 turns,"ATK +120% and DEF +60%; high chance[1] of evading enemy's attack (including Super Attack); medium chance[2] of evading enemy's Super Attack and countering with tremendous power; attacks effective against all Types when there is an ally whose name includes ""Kale (disambiguation)"" attacking in the same turn","[""7416"", ""7993"", ""8570"", ""9147"", ""11147"", ""13747""]","[""7788"", ""8394"", ""9000"", ""9606"", ""11606"", ""14606""]","[""4176"", ""4501"", ""4825"", ""5150"", ""7150"", ""10550""]",,,,,,,,,,,,,,,,,
The Final Clash,Majin Vegeta,120,10-Jan,UR,Extreme AGL,1966,"[""Boost All"", ""Category Matchup"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","AGL Type Ki +3 and HP, ATK & DEF +70%",Accel Dance,Causes supreme damage to enemy and raises ATK for 3 turns[1],Overwhelming Force,ATK & DEF +70%; changes TEQ Ki Spheres to PHY Ki Spheres; changes STR Ki Spheres to AGL Ki Spheres in addition when HP is 70% or below,"[""Resurrected Warriors"", ""Majin Buu Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""Super Saiyan 2"", ""Corroded Body and Mind"", ""Gifted Warriors""]","[""3645"", ""10206"", ""12206"", ""14806""]","[""3628"", ""9153"", ""11153"", ""14153""]","[""1703"", ""4769"", ""6769"", ""10169""]",,"PHY Type Ki +3 and HP, ATK & DEF +100%",Gigantic Impact (Extreme),Causes immense damage to enemy and greatly lowers DEF[2],ATK +160%; launches an additional attack that has a great chance[3] of becoming a Super Attack; reduces damage received by 60% for 6 turns from start of turn; reduces damage received by 60% with 6 or more PHY Ki Spheres obtained starting from the 7th turn from the start of battle,"[""7653"", ""8248"", ""8843"", ""9439"", ""11439"", ""14039""]","[""7914"", ""8530"", ""9145"", ""9761"", ""11761"", ""15161""]","[""3901"", ""4205"", ""4508"", ""4811"", ""6811"", ""9811""]",,,,,,,,,,,,,,,,,
A Will Beyond Time,Super Saiyan Trunks (Future),120/140,15-Jan,UR,Super PHY,1970,"[""Boost All"", ""Category Matchup"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Accel Dance,Causes supreme damage to enemy and raises DEF by 30% for 3 turns,A Supreme New Power,ATK & DEF +70%; changes PHY Ki Spheres to AGL Ki Spheres; changes INT Ki Spheres to PHY Ki Spheres in addition when HP is 70% or below[1],"[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Super Saiyans"", ""Bond of Master and Disciple"", ""Revenge"", ""Battle of Wits""]","[""3835"", ""9205"", ""11205"", ""14605""]","[""3071"", ""7985"", ""9985"", ""12985""]","[""2179"", ""4577"", ""6577"", ""9177""]",,"""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +160%;<br/>or<br/>INT Type Ki +3 and HP, ATK & DEF +100%",Unpolished Instinct (Extreme),Raises ATK & DEF[2] and causes immense damage to enemy,ATK & DEF +150%; Awakens when HP is 50% or less,"[""9051"", ""9755"", ""10459"", ""11163"", ""13163"", ""15763""]","[""9460"", ""10196"", ""10932"", ""11668"", ""13668"", ""16668""]","[""4545"", ""4899"", ""5252"", ""5606"", ""7606"", ""11006""]",,,,,,,,,,,,,,,,,
Bonds Beyond Time,Super Saiyan God SS Vegeta,120/140,15-Jan,UR,Super TEQ,1971,"[""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Burning Attack,Causes supreme damage to enemy and raises ATK for 6 turns[1],Duel of Might,Ki +2 and ATK +80% at start of turn,"[""Realm of Gods"", ""Pure Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Gifted Warriors"", ""Attained Evolution""]","[""3873"", ""9297"", ""11297"", ""13897""]","[""3113"", ""8095"", ""10095"", ""13495""]","[""2091"", ""4393"", ""6393"", ""9393""]",,"""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +160%;<br/>or<br/>INT Type Ki +3 and HP, ATK & DEF +100%",Supreme Kamehameha (Extreme),Raises ATK & DEF[2] and causes immense damage to enemy,"Ki +3, ATK +200% and DEF +100%; great chance[3] of evading enemy's attack (including Super Attack); disables enemy's guard; evades enemy's attack (including Super Attack) for 1 turn after Awakening","[""6700"", ""7221"", ""7752"", ""8263"", ""9863"", ""12263""]","[""7222"", ""7784"", ""8346"", ""8908"", ""10508"", ""12908""]","[""3261"", ""3515"", ""3769"", ""4023"", ""5623"", ""8023""]",,,,,,,,,,,,,,,,,
Determined to Evolve,Super Saiyan God SS Vegeta,120,10-Jan,UR,Super AGL,1972,"[""Change Ki Spheres"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Stun""]",All Types ATK & DEF +30%,Final Cannon,Causes supreme damage to enemy and raises DEF by 30% for 1 turn,Undeniable Power,Ki +2 to 6 randomly at start of turn; ATK +90% when performing a Super Attack,"[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Gifted Warriors"", ""Attained Evolution""]","[""2764"", ""8016"", ""10016"", ""12616""]","[""2877"", ""8344"", ""10344"", ""13344""]","[""1693"", ""4910"", ""6910"", ""10310""]",,"""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +77% <br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +50%",Kaioken Attack (Extreme),Greatly raises ATK[1] and causes supreme damage to enemy,"ATK & DEF +77%; Ki +3 plus an additional ATK & DEF +77% when HP is 77% or less; plus an additional ATK +33% and high chance[2] of performing a critical hit when ""Piccolo (disambiguation)"" is on the team","[""6700"", ""7221"", ""7752"", ""8263"", ""9863"", ""12263""]","[""7222"", ""7784"", ""8346"", ""8908"", ""10508"", ""12908""]","[""3261"", ""3515"", ""3769"", ""4023"", ""5623"", ""8023""]",,,,,,,,,,,,,,,,,
Ascending to Godhood,Super Saiyan God SS Vegeta,120,10-Jan,UR,Super PHY,1973,"[""Raise ATK"", ""Raise DEF""]",PHY Type ATK +33% per PHY Ki Sphere obtained,Fusion,"50% chance for either Fat Gotenks or Skinny Gotenks.
Fat Gotenks: Lowers own ATK for 1 turn[1] and causes colossal damage to enemy

Skinny Gotenks: Lowers own ATK & DEF for 1 turn[2] and causes colossal damage to enemy",Discord of Gods & Men,Ki +3 to 9 randomly at start of turn; ATK +120% when performing a Super Attack,"[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Gifted Warriors"", ""Attained Evolution""]","[""3174"", ""9205"", ""11205"", ""14605""]","[""2601"", ""7544"", ""9544"", ""12544""]","[""1768"", ""5128"", ""7128"", ""9728""]",,"All Types Ki +3 and HP, ATK & DEF +80%",Sphere of Destruction (Extreme),Causes supreme damage to enemy and raises allies' ATK by 30% for 1 turn,"ATK & DEF +70%; all allies' Ki +1 and ATK & DEF +40%, and all enemies' DEF -70%; reduces damage received by 40% when HP is 70% or less","[""11499"", ""12393"", ""13288"", ""14182"", ""16182"", ""18782""]","[""12988"", ""13998"", ""15008"", ""16019"", ""18019"", ""21019""]","[""5801"", ""6252"", ""6703"", ""7154"", ""9154"", ""12554""]",,,,,,,,,,,,,,,,,
New Realms of Saiyan Power,Super Saiyan God SS Vegeta,120,10-Jan,UR,Super STR,1974,"[""Boost All"", ""Disable Guard"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]",All Types ATK & DEF +30%,Vegito Sword,Raises ATK & DEF[1] and causes colossal damage to enemy,Another Secret Strategy,"ATK & DEF +80%; raises Ki by up to 10<br/>(the less HP remaining, the greater the Ki boost)[3]","[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Gifted Warriors"", ""Attained Evolution""]","[""2952"", ""8562"", ""10562"", ""13562""]","[""2816"", ""8169"", ""10169"", ""13569""]","[""1610"", ""4669"", ""6669"", ""9269""]",,"AGL Type Ki +3 and HP, ATK & DEF +100%",Super Speed Justice Kick (Extreme),Causes supreme damage to enemy and raises ATK & DEF by 50% for 6 turns,ATK +20%[2] and chance of evading enemy's attack (including Super Attack) +20% (up to 60%) at start of each turn; plus an additional ATK +20% within the same turn after evading an attack,"[""11499"", ""12393"", ""13288"", ""14182"", ""16182"", ""18782""]","[""12988"", ""13998"", ""15008"", ""16019"", ""18019"", ""21019""]","[""5801"", ""6252"", ""6703"", ""7154"", ""9154"", ""12554""]",,,,,,,,,,,,,,,,,
Convergent Fury,Super Trunks,120/140,15-Jan,UR,Super PHY,1977,"[""Boost All"", ""Disable Guard"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Burning Attack,Causes supreme damage to enemy and raises DEF by 30% for 3 turns,Full of Energy,ATK +100%; medium chance[1] to perform a critical hit,"[""Hybrid Saiyans"", ""Future Saga"", ""Full Power"", ""Time Travelers"", ""Vegeta's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Saviors"", ""Connected Hope"", ""Heavenly Events"", ""Attained Evolution""]","[""3110"", ""9021"", ""11021"", ""14421""]","[""2816"", ""8169"", ""10169"", ""13169""]","[""1530"", ""4439"", ""6439"", ""9039""]",,"INT and STR Type Ki +3 and HP, ATK & DEF +90%",Hawk Charge (Extreme),"Raises ATK[2], causes supreme damage to enemy and lowers ATK & DEF[1]","ATK & DEF +20% per ""Peppy Gals"" Category ally on the team; plus an additional DEF +80% when performing a Super Attack; attacked enemy's ATK & DEF -20% for 2 turns; recovers 20% of damage dealt as HP","[""11499"", ""12393"", ""13288"", ""14182"", ""16182"", ""18782""]","[""12988"", ""13998"", ""15008"", ""16019"", ""18019"", ""21019""]","[""5801"", ""6252"", ""6703"", ""7154"", ""9154"", ""12554""]",,,,,,,,,,,,,,,,,
Confident of Victory,Super Trunks,120/140,15-Jan,UR,Super STR,1978,"[""Boost Category"", ""Boost Type"", ""Debuff"", ""Lower ATK"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Burning Attack,Causes colossal damage to enemy and raises DEF by 30% for 3 turns,Battle-Forged Friendships,ATK +120%; high chance[1] to perform a critical hit,"[""Hybrid Saiyans"", ""Future Saga"", ""Full Power"", ""Time Travelers"", ""Vegeta's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Saviors"", ""Connected Hope"", ""Heavenly Events"", ""Attained Evolution""]","[""2762"", ""8010"", ""10010"", ""13010""]","[""2981"", ""8646"", ""10646"", ""14046""]","[""1498"", ""4347"", ""6347"", ""8947""]",,"TEQ and STR Type Ki +3 and HP, ATK & DEF +90%",Kamehameha (Extreme),Causes supreme damage to enemy and raises ATK & DEF by 30% for 6 turns,ATK & DEF +120%; chance of evading enemy's attack (including Super Attack) +15% at start of each turn (up to 60%); Ki +3 plus an additional DEF +120% for 7 turns from start of turn,"[""11499"", ""12393"", ""13288"", ""14182"", ""16182"", ""18782""]","[""12988"", ""13998"", ""15008"", ""16019"", ""18019"", ""21019""]","[""5801"", ""6252"", ""6703"", ""7154"", ""9154"", ""12554""]",,,,,,,,,,,,,,,,,
Wrath of the Absolute God,Fusion Zamasu,120/140,15-Jan,UR,Extreme TEQ,1979,"[""Boost Type"", ""Counterattack"", ""Evasion"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Rebellion Edge,Causes immense damage to enemy; medium chance to seal Super Attack[1],Desperate Attack,ATK & DEF +100% when performing a Super Attack; all Super Class allies' ATK +40% when HP is 70% or below,"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Final Trump Card"", ""Exploding Rage""]","[""3213"", ""9318"", ""11318"", ""13918""]","[""3342"", ""9694"", ""11694"", ""15094""]","[""1407"", ""4083"", ""6083"", ""9083""]",,"AGL and INT Type Ki +3 and HP, ATK & DEF +90%",All-Out Surprise Attack (Extreme),Greatly raises ATK & DEF for 1 turn[2] and causes supreme damage with a great chance of stunning the enemy[1],"ATK & DEF +100%; all allies' Ki +3; AGL Type ATK & DEF +20%; ""Peppy Gals"" Category allies' ATK & DEF +30% and chance of performing a critical hit +15%; foresees enemy's Super Attack when HP is 50% or less","[""11499"", ""12393"", ""13288"", ""14182"", ""16182"", ""18782""]","[""12988"", ""13998"", ""15008"", ""16019"", ""18019"", ""21019""]","[""5801"", ""6252"", ""6703"", ""7154"", ""9154"", ""12554""]",,,,,,,,,,,,,,,,,
Unparalleled Super Saiyan,Super Saiyan 4 Vegeta,120/140,15-Jan,UR,Super AGL,1983,"[""Boost All"", ""Raise Ki"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Burst Rush,Raises ATK[1] and causes immense damage to enemy,Vicious Judgment,ATK +120%; medium chance to guard all attacks[2]; DEF +50% for all Super Class allies,"[""Shadow Dragon Saga"", ""Pure Saiyans"", ""Vegeta's Family"", ""Worthy Rivals"", ""Saviors"", ""Giant Ape Power"", ""Miraculous Awakening"", ""Gifted Warriors"", ""GT Heroes""]","[""5325"", ""11715"", ""13715"", ""16315""]","[""4790"", ""10538"", ""12538"", ""15538""]","[""2486"", ""5470"", ""7470"", ""10870""]",,"TEQ and PHY Type Ki +3 and HP, ATK & DEF +90%",Energy Wave (Extreme),"Causes supreme damage to enemy, seals Super Attack and raises ATK & DEF by 30% for 6 turns","ATK & DEF +18% per ""Peppy Gals"" Category ally on the team; ATK & DEF +18% per Ki Sphere obtained, plus an additional ATK & DEF +2% per ""Peppy Gals"" Category ally on the team; evades enemy's attack (including Super Attack) and stuns the attacked enemy when HP is 18% or less","[""12377"", ""13340"", ""14303"", ""15265"", ""17265"", ""19865""]","[""12871"", ""13872"", ""14873"", ""15874"", ""17874"", ""21274""]","[""5508"", ""5936"", ""6365"", ""6793"", ""8793"", ""11793""]",,,,,,,,,,,,,,,,,
Devastating Fusion Power,Super Saiyan Gotenks,120/140,15-Jan,UR,Super PHY,1986,"[""Boost All"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Spirit Cannon,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,True Form Revealed,ATK +15% & DEF +10% per Ki Sphere obtained,"[""Fusion"", ""Hybrid Saiyans"", ""Majin Buu Saga"", ""Youth"", ""Super Saiyans"", ""Special Pose"", ""Rapid Growth"", ""Connected Hope"", ""Gifted Warriors"", ""Heavenly Events"", ""Time Limit""]","[""3085"", ""8947"", ""10947"", ""14347""]","[""2800"", ""8120"", ""10120"", ""13120""]","[""1628"", ""4724"", ""6724"", ""9324""]",,"All Types Ki +3 and HP, ATK & DEF +120%",Power Pole (Extreme),Causes colossal damage with a medium chance of stunning the enemy[2],"ATK & DEF +59%; Super Class allies' Ki +2 and ATK & DEF +30%; medium chance[3] of evading enemy's attack (including Super Attack); plus an additional ATK & DEF +20% for Super Class allies when HP is 59% or less; Ki +3 and chance of performing a critical hit +59% when there is an ally whose name includes ""Gohan (disambiguation)"" attacking in the same turn","[""12377"", ""13340"", ""14303"", ""15265"", ""17265"", ""19865""]","[""12871"", ""13872"", ""14873"", ""15874"", ""17874"", ""21274""]","[""5508"", ""5936"", ""6365"", ""6793"", ""8793"", ""11793""]",,,,,,,,,,,,,,,,,
